host,processUUID,processName,event,objectType,objectData,objectUUID,timestamp,CommandLine
win10-1,325102ac-b3ae-4756-95fb-014dadf0580d,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,send,socket,13.89.179.9:443.0,f14ce47a-20e1-4458-91b5-829e9996f41f,14:23.9,
win10-1,325102ac-b3ae-4756-95fb-014dadf0580d,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,receive,socket,13.89.179.9:443.0,f14ce47a-20e1-4458-91b5-829e9996f41f,14:23.9,
win10-1,dd57c4fe-1800-4c1f-aa41-5bf3cdcac5c5,C:\Windows\System32\svchost.exe,execute,file,C:\Windows\explorer.exe,fda9ab03-6892-43c5-b585-c776f8a2e9c3,18:00.0,"C:\windows\explorer.exe /factory,{75dff2b7-6936-4c06-a8bb-676a7b00b24b} -Embedding"
win10-1,dd57c4fe-1800-4c1f-aa41-5bf3cdcac5c5,C:\Windows\System32\svchost.exe,fork,process,C:\Windows\explorer.exe,49a16409-3409-491f-bdcc-e954861cc463,18:00.0,
win10-1,49a16409-3409-491f-bdcc-e954861cc463,C:\Windows\explorer.exe,execute,file,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,4d0dc02f-bdb7-4ea1-82aa-c59c8db7095c,18:06.8,"""C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE"" ""C:\Users\Public\Documents\organization-workers.xlsx"""
win10-1,49a16409-3409-491f-bdcc-e954861cc463,C:\Windows\explorer.exe,fork,process,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,325102ac-b3ae-4756-95fb-014dadf0580d,18:06.8,
win10-1,616d30a4-06f4-4258-8359-9d5dd193f9f7,C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\python3.12.exe,execute,file,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,62ed0d67-9921-4785-87d1-9714161a5165,18:15.9,"""c:\Program Files\AutoHotkey\v2\AutoHotkey64.exe"" ahk_scripts\browse-ensure.ahk 30 https://www.facebook.com"
win10-1,616d30a4-06f4-4258-8359-9d5dd193f9f7,C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\python3.12.exe,fork,process,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,eb618931-dafc-4992-bf50-787ae2ffb81c,18:15.9,
win10-1,eb618931-dafc-4992-bf50-787ae2ffb81c,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,execute,file,C:\Program Files\Google\Chrome\Application\chrome.exe,e61dbe4c-ad87-40c2-b1dd-b2896d43b763,18:16.0,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --new-window"
win10-1,eb618931-dafc-4992-bf50-787ae2ffb81c,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,fork,process,C:\Program Files\Google\Chrome\Application\chrome.exe,82bfb7e5-e08a-4d3d-bc52-c9aa55b04460,18:16.0,
win10-1,11d66e45-887a-4c02-b00a-77dbbca7617f,C:\Windows\System32\services.exe,execute,file,C:\Program Files\Google\Chrome\Application\130.0.6723.92\elevation_service.exe,01a3874c-b2fc-4fca-89c8-a8dd0eba98eb,18:16.3,"""C:\Program Files\Google\Chrome\Application\130.0.6723.92\elevation_service.exe"""
win10-1,11d66e45-887a-4c02-b00a-77dbbca7617f,C:\Windows\System32\services.exe,fork,process,C:\Program Files\Google\Chrome\Application\130.0.6723.92\elevation_service.exe,d99a4122-23c1-4b9d-8619-b156419860c0,18:16.3,
win10-1,616d30a4-06f4-4258-8359-9d5dd193f9f7,C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\python3.12.exe,fork,process,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,c47a8960-4fab-46a9-ae85-a1335398ab81,18:37.8,
win10-1,c47a8960-4fab-46a9-ae85-a1335398ab81,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,execute,file,C:\Program Files\Google\Chrome\Application\chrome.exe,e61dbe4c-ad87-40c2-b1dd-b2896d43b763,18:37.8,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --new-window"
win10-1,c47a8960-4fab-46a9-ae85-a1335398ab81,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,fork,process,C:\Program Files\Google\Chrome\Application\chrome.exe,dd97068c-de53-402a-ac20-41d8dbf58e06,18:37.8,
win10-1,11d66e45-887a-4c02-b00a-77dbbca7617f,C:\Windows\System32\services.exe,fork,process,C:\Program Files\Google\Chrome\Application\130.0.6723.92\elevation_service.exe,0440dbd6-426b-4700-94fa-8a04cac67938,18:38.1,
win10-1,ad15d48c-ac97-43c3-9523-32b93a75090c,C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe,execute,file,C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe,8ccfec9e-efae-4fdb-90de-555b9895821f,18:45.5,"""C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe"""
win10-1,ad15d48c-ac97-43c3-9523-32b93a75090c,C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe,fork,process,C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe,f8e61d43-5ec4-4caf-8168-332f5f00aede,18:45.5,
win10-1,ad15d48c-ac97-43c3-9523-32b93a75090c,C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe,execute,file,C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe,1e5cf5ba-89bd-4818-8430-7a79be34bd2a,18:46.4,"""C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe"""
win10-1,ad15d48c-ac97-43c3-9523-32b93a75090c,C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe,fork,process,C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe,9b3dac18-2594-427f-938b-e83f7d93ca59,18:46.4,
win10-1,90f12a50-1fda-4a55-845b-cd601416b888,C:\Windows\System32\svchost.exe,execute,file,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,5535a23e-3f25-49ce-be99-92cb20b308fb,18:46.7,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /ua /installsource scheduler"
win10-1,90f12a50-1fda-4a55-845b-cd601416b888,C:\Windows\System32\svchost.exe,fork,process,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,608b4c60-d38e-476f-8fd0-54e5a0720dff,18:46.7,
win10-1,ad15d48c-ac97-43c3-9523-32b93a75090c,C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe,execute,file,C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe,c09da29f-8d5f-4850-b65a-54b5d9440619,18:47.1,"""C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe"""
