host,processUUID,processName,event,objectType,objectData,objectUUID,timestamp,CommandLine
win11,2ca22cf6-f3c0-4f4e-8d49-48dd732dac19,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,receive,socket,20.189.173.1:443.0,a96cbf58-fe58-4be7-8b63-dbc520e07280,16:13.4,
win11,2ca22cf6-f3c0-4f4e-8d49-48dd732dac19,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,send,socket,20.189.173.1:443.0,a96cbf58-fe58-4be7-8b63-dbc520e07280,16:13.4,
win11,0d04361a-1158-44b8-bca3-c75e304155ed,C:\Users\user\AppData\Local\Programs\Python\Python312\python.exe,execute,file,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,62ed0d67-9921-4785-87d1-9714161a5165,18:10.6,"""c:\Program Files\AutoHotkey\v2\AutoHotkey64.exe"" ahk_scripts\google-it-ensure.ahk 30 ""Latest industry news in high-tech"""
win11,0d04361a-1158-44b8-bca3-c75e304155ed,C:\Users\user\AppData\Local\Programs\Python\Python312\python.exe,fork,process,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,b032a362-ad9b-45e7-b91e-459b1e263623,18:10.6,
win11,b032a362-ad9b-45e7-b91e-459b1e263623,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,execute,file,C:\Program Files\Google\Chrome\Application\chrome.exe,e61dbe4c-ad87-40c2-b1dd-b2896d43b763,18:10.7,"""C:\Program Files\Google\Chrome\Application\chrome.exe"""
win11,b032a362-ad9b-45e7-b91e-459b1e263623,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,fork,process,C:\Program Files\Google\Chrome\Application\chrome.exe,939e1773-859c-4ff3-9d6a-d4924ddd70b0,18:10.7,
win11,5ca5093b-26e2-4d12-b258-abf7fdc47ef0,C:\Windows\System32\services.exe,execute,file,C:\Program Files\Google\Chrome\Application\130.0.6723.92\elevation_service.exe,01a3874c-b2fc-4fca-89c8-a8dd0eba98eb,18:11.0,"""C:\Program Files\Google\Chrome\Application\130.0.6723.92\elevation_service.exe"""
win11,5ca5093b-26e2-4d12-b258-abf7fdc47ef0,C:\Windows\System32\services.exe,fork,process,C:\Program Files\Google\Chrome\Application\130.0.6723.92\elevation_service.exe,8f501601-a462-49b9-a57f-a6132426ff4b,18:11.0,
win11,15d26c99-4cea-40ff-9157-34fb228e3f48,C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe,execute,file,C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe,1e5cf5ba-89bd-4818-8430-7a79be34bd2a,18:13.3,"""C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe"""
win11,15d26c99-4cea-40ff-9157-34fb228e3f48,C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe,fork,process,C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe,eba3e5fc-65ec-4cad-8915-59ac3b452b0f,18:13.3,
